Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,2040.0,2050.0,1875.0,1900.0,1654.126220703125,393009600.0
2020-04-27,1910.0,2050.0,1875.0,1960.0,1706.36181640625,327896000.0
2020-05-04,1980.0,2015.0,1890.0,1900.0,1654.126220703125,362819600.0
2020-05-11,1910.0,1910.0,1635.0,1665.0,1449.5369873046875,594941400.0
2020-05-18,1700.0,1820.0,1690.0,1800.0,1567.06689453125,302766000.0
2020-05-25,1830.0,1930.0,1790.0,1915.0,1667.1851806640625,745160800.0
2020-06-01,1950.0,2470.0,1925.0,2415.0,2102.4814453125,1224043000.0
2020-06-08,2450.0,2575.0,1970.0,2100.0,1828.2447509765625,1666236400.0
2020-06-15,2175.0,2375.0,2175.0,2235.0,1945.774658203125,687177800.0
2020-06-22,2235.0,2390.0,2160.0,2295.0,1998.0103759765625,824867600.0
2020-06-29,2335.0,2350.0,2255.0,2305.0,2006.7161865234375,364359400.0
2020-07-06,2325.0,2430.0,2290.0,2375.0,2067.65771484375,575560200.0
2020-07-13,2375.0,2390.0,2255.0,2270.0,1976.24560546875,439787200.0
2020-07-20,2285.0,2395.0,2280.0,2325.0,2024.1280517578125,534001200.0
2020-07-27,2330.0,2355.0,2150.0,2220.0,1932.7158203125,441843600.0
2020-08-03,2235.0,2340.0,2225.0,2310.0,2011.0692138671875,299714200.0
2020-08-10,2315.0,2675.0,2315.0,2500.0,2176.481689453125,844804400.0
2020-08-17,2525.0,2612.5,2500.0,2550.0,2220.011474609375,468099800.0
2020-08-24,2575.0,2712.5,2500.0,2550.0,2220.011474609375,780254000.0
2020-08-31,2575.0,2687.5,2512.5,2625.0,2285.305908203125,739224200.0
2020-09-07,2650.0,2650.0,2210.0,2525.0,2198.246826171875,854187000.0
2020-09-14,2525.0,2550.0,2275.0,2295.0,1998.0103759765625,458198200.0
2020-09-21,2250.0,2345.0,2155.0,2270.0,1976.24560546875,481762200.0
2020-09-28,2300.0,2325.0,2185.0,2310.0,2011.0692138671875,321274600.0
2020-10-05,2355.0,2370.0,2305.0,2335.0,2032.8341064453125,302737800.0
